time,enrolled,available,waitlisted,total
2022-05-20T04:26:57,0,176,0,176
2022-05-20T04:37:36,0,176,0,176
2022-05-20T04:47:53,0,176,0,176
2022-05-20T04:58:09,0,176,0,176
2022-05-20T05:08:25,0,176,0,176
2022-05-20T05:18:40,0,176,0,176
2022-05-20T05:28:56,0,176,0,176
2022-05-20T05:39:12,0,176,0,176
2022-05-20T05:49:27,0,176,0,176
2022-05-20T05:59:43,0,176,0,176
2022-05-20T06:09:58,0,176,0,176
2022-05-20T06:20:12,0,176,0,176
2022-05-20T06:30:29,0,176,0,176
2022-05-20T06:40:43,0,176,0,176
2022-05-20T06:50:57,0,176,0,176
2022-05-20T07:01:13,0,176,0,176
2022-05-20T07:11:27,0,176,0,176
2022-05-20T07:21:40,0,176,0,176
2022-05-20T07:31:54,0,176,0,176
2022-05-20T07:42:08,0,176,0,176
2022-05-20T07:52:22,0,176,0,176
2022-05-20T08:02:36,0,176,0,176
2022-05-20T08:12:51,0,176,0,176
2022-05-20T08:23:05,0,176,0,176
2022-05-20T08:33:21,0,176,0,176
2022-05-20T08:43:35,0,176,0,176
2022-05-20T08:53:50,0,176,0,176
2022-05-20T09:04:06,0,176,0,176
2022-05-20T09:14:33,0,176,0,176
2022-05-20T09:24:49,0,176,0,176
2022-05-20T09:35:04,0,176,0,176
2022-05-20T09:45:21,0,176,0,176
2022-05-20T09:55:37,0,176,0,176
2022-05-20T10:05:53,0,176,0,176
2022-05-20T10:16:09,0,176,0,176
2022-05-20T10:26:24,0,176,0,176
2022-05-20T10:36:41,0,176,0,176
2022-05-20T10:46:57,0,176,0,176
2022-05-20T10:57:25,2,174,0,176
2022-05-20T11:07:42,2,174,0,176
2022-05-20T11:17:58,2,174,0,176
2022-05-20T11:28:14,2,174,0,176
2022-05-20T11:38:30,2,174,0,176
2022-05-20T11:48:46,2,174,0,176
2022-05-20T11:59:15,4,172,0,176
2022-05-20T12:09:31,4,172,0,176
2022-05-20T12:19:47,5,171,0,176
2022-05-20T12:30:02,5,171,0,176
2022-05-20T12:40:17,6,170,0,176
2022-05-20T12:50:32,6,170,0,176
2022-05-20T13:00:59,6,170,0,176
2022-05-20T13:11:16,6,170,0,176
2022-05-20T13:21:32,6,170,0,176
2022-05-20T13:31:48,7,169,0,176
2022-05-20T13:42:05,9,167,0,176
2022-05-20T13:52:21,9,167,0,176
2022-05-20T14:02:37,9,167,0,176
2022-05-20T14:13:03,9,167,0,176
2022-05-20T14:23:18,9,167,0,176
2022-05-20T14:33:34,9,167,0,176
2022-05-20T14:43:49,9,167,0,176
2022-05-20T14:54:05,10,166,0,176
2022-05-20T15:04:20,10,166,0,176
2022-05-20T15:14:46,10,166,0,176
2022-05-20T15:25:02,10,166,0,176
2022-05-20T15:35:17,10,166,0,176
2022-05-20T15:45:32,10,166,0,176
2022-05-20T15:55:47,10,166,0,176
2022-05-20T16:06:02,10,166,0,176
2022-05-20T16:16:17,10,166,0,176
2022-05-20T16:26:42,10,166,0,176
2022-05-20T16:36:57,10,166,0,176
2022-05-20T16:47:11,10,166,0,176
2022-05-20T16:57:25,10,166,0,176
2022-05-20T17:07:40,10,166,0,176
2022-05-20T17:17:54,9,167,0,176
2022-05-20T17:28:07,9,167,0,176
2022-05-20T17:38:21,9,167,0,176
2022-05-20T17:48:36,9,167,0,176
2022-05-20T17:58:50,9,167,0,176
2022-05-20T18:09:03,9,167,0,176
2022-05-20T18:19:26,9,167,0,176
2022-05-20T18:29:40,9,167,0,176
2022-05-20T18:39:53,9,167,0,176
2022-05-20T18:50:06,9,167,0,176
2022-05-20T19:00:20,9,167,0,176
2022-05-20T19:10:34,9,167,0,176
2022-05-20T19:20:48,9,167,0,176
2022-05-20T19:31:02,9,167,0,176
