time,enrolled,available,waitlisted,total
2022-05-20T04:31:07,0,14,0,14
2022-05-20T04:41:23,0,14,0,14
2022-05-20T04:51:40,0,14,0,14
2022-05-20T05:01:56,0,14,0,14
2022-05-20T05:12:12,0,14,0,14
2022-05-20T05:22:27,0,14,0,14
2022-05-20T05:32:43,0,14,0,14
2022-05-20T05:42:58,0,14,0,14
2022-05-20T05:53:14,0,14,0,14
2022-05-20T06:03:30,0,14,0,14
2022-05-20T06:13:44,0,14,0,14
2022-05-20T06:24:01,0,14,0,14
2022-05-20T06:34:15,0,14,0,14
2022-05-20T06:44:29,0,14,0,14
2022-05-20T06:54:43,0,14,0,14
2022-05-20T07:04:59,0,14,0,14
2022-05-20T07:15:13,0,14,0,14
2022-05-20T07:25:27,0,14,0,14
2022-05-20T07:35:40,0,14,0,14
2022-05-20T07:45:55,0,14,0,14
2022-05-20T07:56:09,0,14,0,14
2022-05-20T08:06:23,0,14,0,14
2022-05-20T08:16:37,0,14,0,14
2022-05-20T08:26:53,0,14,0,14
2022-05-20T08:37:07,0,14,0,14
2022-05-20T08:47:22,0,14,0,14
2022-05-20T08:57:37,0,14,0,14
2022-05-20T09:08:04,0,14,0,14
2022-05-20T09:18:20,0,14,0,14
2022-05-20T09:28:36,0,14,0,14
2022-05-20T09:38:52,0,14,0,14
2022-05-20T09:49:08,0,14,0,14
2022-05-20T09:59:24,0,14,0,14
2022-05-20T10:09:40,0,14,0,14
2022-05-20T10:19:56,0,14,0,14
2022-05-20T10:30:12,0,14,0,14
2022-05-20T10:40:28,0,14,0,14
2022-05-20T10:50:56,0,14,0,14
2022-05-20T11:01:13,0,14,0,14
2022-05-20T11:11:29,0,14,0,14
2022-05-20T11:21:45,0,14,0,14
2022-05-20T11:32:01,0,14,0,14
2022-05-20T11:42:17,0,14,0,14
2022-05-20T11:52:47,0,14,0,14
2022-05-20T12:03:03,0,14,0,14
2022-05-20T12:13:18,0,14,0,14
2022-05-20T12:23:33,0,14,0,14
2022-05-20T12:33:48,0,14,0,14
2022-05-20T12:44:04,0,14,0,14
2022-05-20T12:54:19,0,14,0,14
2022-05-20T13:04:47,0,14,0,14
2022-05-20T13:15:03,0,14,0,14
2022-05-20T13:25:19,0,14,0,14
2022-05-20T13:35:36,0,14,0,14
2022-05-20T13:45:52,0,14,0,14
2022-05-20T13:56:08,0,14,0,14
2022-05-20T14:06:34,0,14,0,14
2022-05-20T14:16:50,0,14,0,14
2022-05-20T14:27:05,0,14,0,14
2022-05-20T14:37:21,0,14,0,14
2022-05-20T14:47:37,0,14,0,14
2022-05-20T14:57:52,0,14,0,14
2022-05-20T15:08:18,0,14,0,14
2022-05-20T15:18:33,0,14,0,14
2022-05-20T15:28:49,0,14,0,14
2022-05-20T15:39:03,0,14,0,14
2022-05-20T15:49:19,0,14,0,14
2022-05-20T15:59:34,0,14,0,14
2022-05-20T16:09:48,0,14,0,14
2022-05-20T16:20:14,0,14,0,14
2022-05-20T16:30:29,1,13,0,14
2022-05-20T16:40:43,1,13,0,14
2022-05-20T16:50:57,1,13,0,14
2022-05-20T17:01:11,1,13,0,14
2022-05-20T17:11:26,1,13,0,14
2022-05-20T17:21:40,1,13,0,14
2022-05-20T17:31:54,1,13,0,14
2022-05-20T17:42:08,1,13,0,14
2022-05-20T17:52:22,1,13,0,14
2022-05-20T18:02:36,1,13,0,14
2022-05-20T18:12:59,1,13,0,14
2022-05-20T18:23:12,1,13,0,14
2022-05-20T18:33:26,1,13,0,14
2022-05-20T18:43:39,1,13,0,14
2022-05-20T18:53:52,1,13,0,14
2022-05-20T19:04:06,1,13,0,14
2022-05-20T19:14:21,1,13,0,14
2022-05-20T19:24:35,1,13,0,14
2022-05-20T19:34:48,1,13,0,14
2022-05-20T19:45:03,1,13,0,14
2022-05-20T19:55:16,1,13,0,14
2022-05-20T20:05:40,1,13,0,14
2022-05-20T20:15:53,1,13,0,14
2022-05-20T20:26:07,1,13,0,14
2022-05-20T20:36:21,1,13,0,14
2022-05-20T20:46:34,1,13,0,14
2022-05-20T20:56:48,1,13,0,14
2022-05-20T21:07:01,1,13,0,14
2022-05-20T21:17:15,1,13,0,14
2022-05-20T21:27:39,1,13,0,14
2022-05-20T21:37:53,1,13,0,14
2022-05-20T21:48:06,1,13,0,14
2022-05-20T21:58:20,1,13,0,14
2022-05-20T22:08:35,1,13,0,14
2022-05-20T22:18:48,1,13,0,14
2022-05-20T22:29:03,1,13,0,14
2022-05-20T22:39:16,1,13,0,14
2022-05-20T22:49:30,1,13,0,14
2022-05-20T22:59:43,1,13,0,14
2022-05-20T23:09:58,1,13,0,14
2022-05-20T23:20:22,1,13,0,14
2022-05-20T23:30:36,1,13,0,14
2022-05-20T23:40:49,1,13,0,14
2022-05-20T23:51:03,2,12,0,14
2022-05-21T00:01:17,2,12,0,14
2022-05-21T00:11:32,2,12,0,14
2022-05-21T00:21:49,2,12,0,14
2022-05-21T00:32:04,2,12,0,14
2022-05-21T00:42:21,2,12,0,14
2022-05-21T00:52:36,2,12,0,14
2022-05-21T01:02:51,2,12,0,14
2022-05-21T01:13:07,2,12,0,14
2022-05-21T01:23:22,2,12,0,14
2022-05-21T01:33:37,2,12,0,14
2022-05-21T01:43:52,2,12,0,14
2022-05-21T01:54:06,2,12,0,14
2022-05-21T02:04:31,2,12,0,14
2022-05-21T02:14:45,2,12,0,14
2022-05-21T02:24:58,2,12,0,14
2022-05-21T02:35:11,2,12,0,14
2022-05-21T02:45:24,2,12,0,14
2022-05-21T02:55:37,2,12,0,14
2022-05-21T03:05:50,2,12,0,14
2022-05-21T03:16:05,2,12,0,14
2022-05-21T03:26:24,2,12,0,14
2022-05-21T03:36:39,2,12,0,14
2022-05-21T03:46:55,2,12,0,14
2022-05-21T03:57:10,2,12,0,14
2022-05-21T04:07:25,2,12,0,14
2022-05-21T04:22:46,2,12,0,14
2022-05-21T04:34:11,2,12,0,14
2022-05-21T04:44:43,2,12,0,14
2022-05-21T04:54:58,2,12,0,14
2022-05-21T05:05:14,2,12,0,14
2022-05-21T05:15:29,2,12,0,14
2022-05-21T05:25:45,2,12,0,14
2022-05-21T05:36:01,2,12,0,14
2022-05-21T05:46:17,2,12,0,14
